circuit,proportional,naive,lookahead,nodes_proportional,nodes_naive,nodes_lookahead
5xp1_194.real,0.093612306,0.101078824,0.157849484,1194,1024,1024
C7552_205.real,0.066029826,0.090373982,0.253821555,346,474,411
alu1_198.real,0.013781202,0.135271044,0.140810968,263,4136,248
apla_203.real,0.114816015,0.183003516,0.432305277,444,1026,842
c2_181.real,0.032658022,0.137758258,0.297838208,312,1493,516
c2_182.real,0.051834353,0.507567703,0.502576464,343,4268,1046
cm151a_211.real,0.042752637,0.214679191,0.491901134,884,11824,1882
cm163a_213.real,0.033272157,0.055244178,0.220017955,564,1028,626
cu_219.real,0.032818404,0.04214774,0.066715901,355,712,712
dk17_224.real,0.041621,0.064860611,0.114344593,281,910,734
dk27_225.real,0.007902313,0.010727855,0.06642442,296,624,247
example2_231.real,0.117481179,0.464218106,0.538512283,302,1514,1514
mlp4_245.real,0.108439388,0.296143932,0.482577163,771,2122,640
mod5adder_306.real,0.352028608,676.637850969,20.062988137,9022,2349478,26718
pcler8_248.real,0.010393822,0.027413757,0.096295114,228,1829,803
rd73_312.real,0.327154353,10.609205423,0.56796154,22578,114972,7661
rd84_313.real,1.053434648,261.590275323,7.227795987,31193,447266,27591
sym9_317.real,0.029556453,21.831178157,0.254846128,831,388213,1505
